kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 403 : 32 224 0 0 0 0 0 0 0 
_1.ptx 404 : 32 320 0 0 0 0 0 0 0 
_1.ptx 405 : 32 352 0 0 0 0 0 0 0 
_1.ptx 406 : 32 10784 1376 0 0 15 1 0 0 
_1.ptx 407 : 32 8192 32 0 0 1 1 0 0 
_1.ptx 408 : 32 256 0 0 0 0 0 0 0 
_1.ptx 409 : 32 224 0 0 0 0 0 0 0 
_1.ptx 410 : 32 224 0 0 0 0 0 0 0 
_1.ptx 411 : 32 320 0 0 0 0 0 0 0 
_1.ptx 412 : 32 352 0 0 0 0 0 0 0 
_1.ptx 413 : 32 11456 1056 0 0 13 1 0 0 
_1.ptx 414 : 32 224 0 0 0 0 0 0 0 
_1.ptx 415 : 32 224 0 0 0 0 0 0 0 
_1.ptx 416 : 32 320 0 0 0 0 0 0 0 
_1.ptx 417 : 32 352 0 0 0 0 0 0 0 
_1.ptx 418 : 32 11424 1184 0 0 13 1 0 0 
_1.ptx 419 : 32 224 0 0 0 0 0 0 0 
_1.ptx 420 : 32 320 0 0 0 0 0 0 0 
_1.ptx 421 : 32 352 0 0 0 0 0 0 0 
_1.ptx 422 : 32 12128 1152 0 0 16 1 0 0 
_1.ptx 423 : 32 256 0 0 0 0 0 0 0 
_1.ptx 424 : 32 256 0 0 0 0 0 0 0 
_1.ptx 425 : 32 256 0 0 0 0 0 0 0 
_1.ptx 427 : 32 224 0 0 0 0 0 0 0 
_1.ptx 428 : 32 320 0 0 0 0 0 0 0 
_1.ptx 429 : 32 352 0 0 0 0 0 0 0 
_1.ptx 430 : 32 10272 1120 0 0 16 1 0 0 
_1.ptx 431 : 32 256 0 0 0 0 0 0 0 
_1.ptx 432 : 32 224 0 0 0 0 0 0 0 
_1.ptx 433 : 32 224 0 0 0 0 0 0 0 
_1.ptx 434 : 32 320 0 0 0 0 0 0 0 
_1.ptx 435 : 32 352 0 0 0 0 0 0 0 
_1.ptx 436 : 32 10304 1056 0 0 14 1 0 0 
_1.ptx 437 : 32 224 0 0 0 0 0 0 0 
_1.ptx 438 : 32 224 0 0 0 0 0 0 0 
_1.ptx 439 : 32 320 0 0 0 0 0 0 0 
_1.ptx 440 : 32 352 0 0 0 0 0 0 0 
_1.ptx 441 : 32 11520 1088 0 0 15 1 0 0 
_1.ptx 442 : 32 256 0 0 0 0 0 0 0 
_1.ptx 443 : 32 320 0 0 0 0 0 0 0 
_1.ptx 444 : 32 352 0 0 0 0 0 0 0 
_1.ptx 445 : 32 11360 1120 0 0 15 1 0 0 
_1.ptx 446 : 32 256 0 0 0 0 0 0 0 
_1.ptx 447 : 32 256 0 0 0 0 0 0 0 
_1.ptx 448 : 32 256 0 0 0 0 0 0 0 
_1.ptx 450 : 32 224 0 0 0 0 0 0 0 
_1.ptx 451 : 32 320 0 0 0 0 0 0 0 
_1.ptx 452 : 32 352 0 0 0 0 0 0 0 
_1.ptx 453 : 32 10208 1248 0 0 11 1 0 0 
_1.ptx 454 : 32 9952 32 0 0 1 1 0 0 
_1.ptx 455 : 32 256 0 0 0 0 0 0 0 
_1.ptx 456 : 32 224 0 0 0 0 0 0 0 
_1.ptx 457 : 32 224 0 0 0 0 0 0 0 
_1.ptx 458 : 32 320 0 0 0 0 0 0 0 
_1.ptx 459 : 32 352 0 0 0 0 0 0 0 
_1.ptx 460 : 32 10912 1120 0 0 13 1 0 0 
_1.ptx 461 : 32 224 0 0 0 0 0 0 0 
_1.ptx 462 : 32 224 0 0 0 0 0 0 0 
_1.ptx 463 : 32 320 0 0 0 0 0 0 0 
_1.ptx 464 : 32 352 0 0 0 0 0 0 0 
_1.ptx 465 : 32 12800 1216 0 0 14 1 0 0 
_1.ptx 466 : 32 224 0 0 0 0 0 0 0 
_1.ptx 467 : 32 320 0 0 0 0 0 0 0 
_1.ptx 468 : 32 352 0 0 0 0 0 0 0 
_1.ptx 469 : 32 11936 832 0 0 15 1 0 0 
_1.ptx 470 : 32 256 0 0 0 0 0 0 0 
_1.ptx 471 : 32 256 0 0 0 0 0 0 0 
_1.ptx 472 : 32 256 0 0 0 0 0 0 0 
_1.ptx 474 : 32 224 0 0 0 0 0 0 0 
_1.ptx 475 : 32 320 0 0 0 0 0 0 0 
_1.ptx 476 : 32 352 0 0 0 0 0 0 0 
_1.ptx 477 : 32 10016 992 0 0 13 1 0 0 
_1.ptx 478 : 32 256 0 0 0 0 0 0 0 
_1.ptx 479 : 32 224 0 0 0 0 0 0 0 
_1.ptx 480 : 32 224 0 0 0 0 0 0 0 
_1.ptx 481 : 32 320 0 0 0 0 0 0 0 
_1.ptx 482 : 32 352 0 0 0 0 0 0 0 
_1.ptx 483 : 32 11616 1312 0 0 15 1 0 0 
_1.ptx 484 : 32 224 0 0 0 0 0 0 0 
_1.ptx 485 : 32 224 0 0 0 0 0 0 0 
_1.ptx 486 : 32 320 0 0 0 0 0 0 0 
_1.ptx 487 : 32 352 0 0 0 0 0 0 0 
